id,Name,Calcium_mg,Calories,Cholesterol <_mg,Cholesterol_mg,Contains,Dietary Fiber <_g,Dietary Fiber_g,Ingredients,Iron_mg,Potas._mg,Protein_g,Saturated Fat_g,Serving Size,Sodium_mg,Total Carbohydrate <_g,Total Carbohydrate_g,Total Fat_g,Total Sugars <_g,Total Sugars_g,Trans Fat_g,Vit. D_mcg
1,Oatmeal (vgn),12.0,90,,0.0,"Oats, Wheat",,2.0,"Rolled Oatmeal(100% Natural Rolled Oats. May Contain Milk, Sesame, Soy, Tree Nuts, Wheat.), Kosher Salt(Kosher Salt), Water",1.18,90.0,3.0,1.5,1/2 Cup (131g),65.0,,16.0,2.0,,0.0,0.0,0.0
2,Arroz con Leche (v),115.0,130,,10.0,Milk,,0.0,"Whole Milk(Milk, vitamin D3), Long Grain Rice(Long grain white rice, enriched with niacin, iron (ferric orthophosphate), thiamine (thiamine mononitrate), and folic acid.), Sweetened Condensed Milk(Concentrated whole milk and sugar.), Spices",0.85,160.0,4.0,1.5,1/2 Cup (115g),35.0,,22.0,3.0,,10.0,0.0,0.7
3,Pancake (v),63.0,140,,30.0,"Eggs, Milk, Soy, Wheat",,0.0,"Pancake Mix(Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Dextrose, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Salt, Defatted Soy Flour, Soybean Oil, Buttermilk. OR Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Dextrose, Palm Oil, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate). Contains 2% Or Less Of: Buttermilk, Salt, Eggs With Sodium Silicoaluminate, Soy Flour. Contains Wheat, Milk, Egg And Soy Ingredients. CATERING ONLY : Bleached Wheat Flour (enriched with niacin, iron, thiamine mononitrate, riboflavin, malted barely and folic acid), Corn flour, Dextrose, Whey (milk), Soybean Oil (citric acid added as preservative), Leavening (Sodium bicarbonate, sodium acid pyrophosphate, monocalcium phosphate, sodium aluminum phosphate), Salt, Butter Milk. Contains Wheat and Milk), Buttermilk(Skim Milk, Non Fat Milk Solids, Culture, and Salt.), Fresh Cage Free Egg(Egg), Margarine (vgn)(Oil blend (palm, soybean, canola, and olive oils), water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural &artificial flavor, potassium sorbate and calcium disodium edta (to preserve freshness), lactic acid, vitamin a palmitate, beta-carotene color. OR Palm oil, water, soybean oil, contains less than 2% of salt, whey, vegetable mono & diglycerides, soy lecithin, artificial flavor, beta carotene (color), vitamin A palmitate added.), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.)",0.91,60.0,4.0,2.0,Pancake (86g),340.0,,17.0,5.0,,5.0,0.0,0.2
4,Chilaquiles (No Egg) (v),127.0,150,,10.0,"Milk, Soy",,2.0,"All Roma Tomatoes(Tomato), Corn Tortilla(Stone Ground Corn, White Corn, Water, Contains Less Than 2% Of (Propionic Acid, Guar Gum, Cellulose Gum, Benzoic Acid, Phosphoric Acid And Enzymes, Propylene Glycol,). Contains Traces Of Lime.), Cotija Cheese(Culture Pasteurized Grade A Milk And Skim Milk, Sea Salt And Enzymes (Microbial).), Onions, Jalapeno(Jalapeno), Shortening Frying Oil(Soybean Oil, Hydrogenated Soybean Oil, TBHQ and Citric Acid Added To Help Preserve Freshness, Dimethylpolysiloxane), Fresh Herbs(Cilantro), Peeled Garlic Clove, Kosher Salt(Kosher Salt), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Chile Chipotle In Adobo Sauce(Chipotle peppers, water, tomato puree, corn oil, corn starch, salt, vinegar, caramel color, onion powder, garlic powder, spices. OR Chipotle peppers, water, tomato puree, vinegar, salt, sugar, garlic, and canola oil. OR Water, Tomato Paste, Dried Chipotle Peppers, Distilled Vinegar, Corn Oil, Contains 2% or less of Iodized Salt (Contains Potassium Iodate), Corn Starch, Onion Powder, Garlic Powder, Spices.), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Serrano Chile(Chile Serrano), Spices(Black Pepper)",0.67,220.0,4.0,2.5,1/2 Cup (117g),260.0,,17.0,8.0,1.0,,,0.1
5,Sausage Patty,0.0,170,,35.0,Pork,,0.0,"Sausage Patty(Pork, water, salt, spices, sugar, dextrose, natural flavorings. OR Pork, Water, Salt, Spices, Sugar, Dextrose, Natural Flavoring, Lime Juice Concentrate.)",0.41,90.0,7.0,6.0,Patty (43g),280.0,,0.0,16.0,,0.0,0.0,0.0
6,Home Fried Potatoes (vgn),10.0,100,,0.0,,,2.0,"Diced Potato(Potato), Bell Peppers, Diced(Bell Pepper), Onions, Roasted Peeled Pimiento Pieces(Pimientos, Water and Citric Acid.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Kosher Salt(Kosher Salt), Spices(Black Pepper)",0.46,390.0,2.0,0.0,1/2 Cup (114g),190.0,,21.0,1.5,,2.0,0.0,0.0
7,Cage Free Scrambled Egg Whites (v),8.0,50,,0.0,Eggs,,0.0,"Fresh Cage Free Egg Whites(Cage Free Egg Whites, Guar Gum and Triethyl Citrate (Whipping Aids))",0.09,180.0,12.0,0.0,1/2 Cup (113g),360.0,1.0,,0.0,1.0,,,0.0
8,Cage Free Eggs Scrambled (v),72.0,200,,420.0,Eggs,,0.0,"Cage Free Liquid Egg(Whole eggs, citric acid (Citric Acid added to Preserve Color)), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color))",1.95,160.0,15.0,4.0,1/2 Cup (116g),160.0,,0.0,14.0,,0.0,0.0,1.4
9,Make Your Own Waffle (v),3.0,250,,0.0,"Eggs, Milk, Soy, Wheat",,0.0,"Water, Waffle Flour(Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Soybean Oil, Sodium Bicarbonate, Monocalcium Phosphate, Contains 2% or less of the following: Natural and Artificial Flavors (Dextrose, Maltodextring, Starch, Silicon Dioxide), Salt, Yellow Corn Flour, Buttermilk Solids, Malted Barley Extract. OR Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin Folic Acid), Sugar, Palm and Soybean Oil, Rice Flour, Less Than 2% Of: Baking Sodia, Dextrose, Egg Whites, Monocalcium Phosphate, Salt, Sodium Aluminum Phosphate, Wheat Protein Isolate, Wheay (Milk Protein). May contain soy.), Vegalene Spray(A blend of Canola Oil, Phosphated Mono & Diglycerides, Natural Flavor and Propellant.)",3.4,0.0,5.0,0.5,Waffle (178g),5.0,,48.0,3.5,,6.0,0.0,0.0
10,Assorted Bagels & Condiments,139.0,260,,10.0,"Eggs, Milk, Sesame, Soy, Wheat",,2.0,"Blueberry Bagel (vgn)(Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Blueberry Bits (Sugar, Corn Syrup, Corn Cereal, Modified Food Starch, Hydrogenated Vegetable Oil [Cottonseed And/Or Soybean Oil] Dried Blueberries, FD&C Blue #2, Red #4, Green #3 And Blue #1). Contains 2% Or Less Or: Yeast, Salt, Wheat Gluten, Calcium Propionate, Potassium Sorbate And Propionic Acid (Preservatives), Ascorbic Acid. Natural & Artificial Flavor, Calcium Sulfate, Mono-Diglycerides, Enzymes, L-Cysteine (Plant Based), Tricalcium Phosphate, Dextrose. Breads And Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Cinnamon Raisin Bagel (vgn)(Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Raisins, Sugar, Contains 2% or less of Yeast, Cinnamon, Salt, Calcium Propionate, Potassium Sorbate and Propionic Acid (preservatives), Calcium Sulfate, Mono-Diglycerides, Ascorbic Acid, Hydrated Monoglyceride, Dextrose, Tricalcium, Enzymes, L-Cysteine (Plant Based). Breads And Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Everything Bagel (vgn)(Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, contains 2% or less of: Wheat Gluten, Salt, Yeast, Calcium Propionate, Propionic Acid and Potassium Sorbate (preservatives) Calcium Sulfate, Mono-Diglycerides, Ascorbic Acid, Enzymes, L-Cysteine (Plant Based), Tricalcium, Phosphate, Hydrated Monoglycerides, Dextrose, Sesame. Breads And Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Plain Bagel (vgn), Whole Wheat Bagel (v)(Stone Ground Whole Wheat, Flour, Honey, Wheat Gluten, Contains 2% or Less of Salt, Yeast, Calcium Propionate, and Potassium Sorbate (preservatives), Mono-Diglycerides, Calcium Sulfate, Tricalcium Phosphate, Ascorbic Acid, L-Cysteine (Plant Based), Dextrose, Enzymes. Breads And Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Onion Bagel (vgn), Sesame Seed Bagel (v)(Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, Sesame Seeds, contains 2% or less of Salt, Yeast, Calcium Propionate, Potassium Sorbate and Propionic Acid (preservatives), Mono-Diglycerides, Calcium Sulfate, Tricalcium Phosphate, Ascorbic Acid, Hydrated Monoglyceride, L-Cysteine (Plant Based), Dextrose, Enzymes. Breads and Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Cream Cheese (v)(Pasteurized Milk and Cream, Salt, Cheese Cultures (Microbial), Stabilizers (Guar Gum And Carob Bean Gum. OR Pasteurized Milk and Cream, Salt, Carob Bean Gum, Cheese Culture), Egg Bagel (v)(Enriched Unbleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, contains 2% or less of Wheat Gluten, Salt, Yeast, Calcium Propionate, Potassium Sorbate and Propionic Acid (preservatives), Mono-Diglycerides, Calcium Sulfate, Tricalcium Phosphate, Ascorbic Acid, Hydrated Monoglyceride, L-Cysteine (Plant Based), Dextrose, Enzymes, Turmeric. Breads and Other Products May Contain Soy, Milk, Eggs, Dairy Products, and Nuts.), Strawberry Pie Glaze(Water, High Fructose Corn Syrup, Food Starch Modified. Contains 2% Or Less Of Each Of The Following: Sorbitol, Artificial Flavor, Citric Acid, Preservatives (Sodium Benzoate, Sodium Propionate), Caramel Color, Red 40, Blue 1), All Roma Tomatoes(Tomato), Red Onion (vgn)(Red Onion)",4.64,10.0,10.0,1.5,Bagel (93g),400.0,,48.0,4.0,,6.0,0.0,0.0
